show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s3068,TV Show,"Nisman: The Prosecutor, the President, and the Spy",Justin Webster,,"Spain, Germany, Denmark, United States","January 1, 2020",2020,TV-MA,1 Season,"['crime', 'documentary', 'international']","This docuseries details the suspicious death of Alberto Nisman, investigator of the 1994 bombing of the Argentine Israelite Mutual Association building."
s2757,Movie,Paharganj,Rakesh Ranjan Kumar,"['Lorena Franco', 'Bijesh Jayarajan', 'Neet Chowdhary', 'Rajeev Gaursingh', 'Karran Jeet', 'Rajesh Sharma', 'Gautam Kurup', 'Poonam Mathur', 'Salman Khan', 'Manish Devkush']",India,"March 31, 2020",2019,TV-MA,107 min,"['drama', 'independent', 'international']","In the underbelly of a Delhi neighborhood, a woman’s search for her missing lover collides with drugs, death and a coach grappling with his demons."
s2663,TV Show,The Midnight Gospel,,"['Duncan Trussell', 'Phil Hendrie', 'Drew Pinsky', 'Joey Diaz', 'Natasha Leggero', 'Johnny Pemberton', 'Christina Pazsitzky', 'Anne Lamott', 'Damien Echols', 'Trudy Goodman', 'Maria Bamford', 'Pauly Shore', 'Doug Lussenhop', 'David Nichtern', 'Steve Little', 'Caitlin Doughty', 'Stephen Root']",United States,"April 20, 2020",2020,TV-MA,1 Season,['comedy'],"Traversing trippy worlds inside his universe simulator, a space caster explores existential questions about life, death and everything in between."
s6864,Movie,God's Own Country,Francis Lee,"[""Josh O'Connor"", 'Alec Secareanu', 'Ian Hart', 'Gemma Jones']",United Kingdom,"May 1, 2018",2017,TV-MA,105 min,"['drama', 'independent', 'international']","In Yorkshire, a withdrawn gay farmer begins a torrid affair with a Romanian migrant worker who shows him the depths of his capacity for affection."
s4236,Movie,Gina Yashere: Skinny B*tch,,['Gina Yashere'],United Kingdom,"December 31, 2018",2008,TV-MA,58 min,['comedy'],"Standup comedian and ""Daily Show"" correspondent Gina Yashere delivers a sharp set of wry observations on the environment, money and more."
s2826,TV Show,Dirty Money,,,United States,"March 11, 2020",2020,TV-MA,2 Seasons,"['crime', 'documentary']","From crippling payday loans to cars that cheat emissions tests, this investigative series exposes brazen acts of corporate greed and corruption."
s2532,Movie,Dilan 1990,"Fajar Bustomi, Pidi Baiq","['Vanesha Prescilla', 'Iqbaal Ramadhan', 'Debo Andryos', 'Giulio Parengkuan', 'Omara Esteghlal', 'Yoriko Angeline', 'Zulfa Maharani', 'Brandon Salim']",Indonesia,"May 14, 2020",2018,TV-14,109 min,"['drama', 'international', 'romance']","At a Bandung high school, charming and rebellious Dilan vies for the affections of shy new student Milea."
s4029,TV Show,Into the Badlands,,"['Daniel Wu', 'Emily Beecham', 'Sarah Bolger', 'Oliver Stark', 'Orla Brady', 'Ally Ioannides', 'Stephen Lang', 'Marton Csokas', 'Madeleine Mantock', 'Aramis Knight']",United States,"March 10, 2019",2018,TV-MA,3 Seasons,"['action', 'adventure']","Dreaming of escaping to a distant city, a ferocious warrior and a mysterious boy tangle with territorial warlords and their highly trained killers."
s8010,Movie,Short Term 12,Destin Daniel Cretton,"['Brie Larson', 'John Gallagher Jr.', 'Kaitlyn Dever', 'Rami Malek', 'Lakeith Stanfield', 'Kevin Hernandez', 'Melora Walters', 'Stephanie Beatriz', 'Lydia Du Veaux', 'Alex Calloway', 'Frantz Turner']",United States,"July 18, 2019",2013,R,97 min,"['drama', 'independent']","A new charge at a foster care facility dredges up the memories of a young supervisor's own troubled past, and her tough exterior begins eroding."
s6280,TV Show,Being Mary Jane: The Series,,"['Gabrielle Union', 'Lisa Vidal', 'Margaret Avery', 'Omari Hardwick', 'Latarsha Rose', 'Aaron D. Spears', 'B.J. Britt', 'Raven Goodwin', 'Richard Roundtree']",United States," July 1, 2017",2016,TV-14,4 Seasons,"['romance', 'drama']",Ambitious single TV journalist Mary Jane attempts to balance her career with her overbearing family and an increasingly messy love life.
s6725,TV Show,Extras,,"['Ricky Gervais', 'Stephen Merchant', 'Ashley Jensen', 'Shaun Williamson', 'Shaun Pye']","United Kingdom, United States","March 31, 2017",2006,TV-MA,2 Seasons,"['british', 'comedy']","Grasping hungrily for stardom, bit actor Andy Millman and his pal Maggie spend their days chasing after work as film and TV extras."
s5189,Movie,Hajwala: The Missing Engine,"Ali Bin Matar, Ibrahim Bin Mohamed","['Yasser Al Jarraf', 'Haleem Aljabri', 'Anwar Aljabri', 'Omar Aljabri', 'Ali Almarzouqi', 'Majed Aldheeb', 'Yousef Almahmodi', 'Reem Ali']",United Arab Emirates,"November 1, 2017",2016,TV-PG,97 min,"['action', 'adventure', 'drama', 'international']",A competitive streetcar racer's obsession with winning drive him to develop a vehicle with an innovative engine that's never been used before.
s4082,Movie,Life of An Outcast,Pawan K Shrivastava,"['Ravi Bhushan Bhartiya', 'Shalini Mohan', 'Bhaskar Jha', 'Manohar Pandey', 'Siddharth Bharadwaj', 'Jay Shanker Pandey', 'Deepak Jha', 'Komal Singh']",India,"February 25, 2019",2018,TV-PG,80 min,"['drama', 'independent', 'international']","When authorities jail his son for rejecting religious bias, a poor father’s struggle to bail him out highlights rural India’s enduring casteism."
s7656,Movie,Once In A Lifetime Sessions with Nile Rodgers,Charlie Lightening,['Nile Rodgers'],United States,"August 1, 2018",2018,TV-PG,70 min,"['documentary', 'music']",The career of rhythm guitarist and Chic founder Nile Rodgers is chronicled in this musical blend of documentary and original concert performance.
s537,TV Show,Tales by Light,,"['Darren Jew', 'Art Wolfe', 'Krystle Wright', 'Peter Eastway', 'Richard l’Anson', 'Jack Thompson', 'Jonathan Scott', 'Angela Scott', 'Eric Cheng', 'Stephen Dupont']",Australia,"July 6, 2021",2018,TV-14,3 Seasons,"['documentary', 'international', 'science', 'nature']","Follow renowned photographers as they explore far-flung locales, capturing extraordinary images that present nature and culture in a new light."
s2745,Movie,The Little Vampire,"Richard Claus, Karsten Kiilerich","['Matthew Marsh', 'Rasmus Hardiker', 'Miriam Margolyes', 'Tim Pigott-Smith', 'Alice Krige', 'Amy Saville', 'Joseph Kloska', 'Diane Wilson', 'Phoebe Givron-Taylor', 'Jim Carter', 'Sven De Ridder']","Netherlands, Germany, Denmark, United Kingdom","April 1, 2020",2017,TV-G,83 min,['family'],An American kid obsessed with the undead befriends and offers to help a young vampire whose family is being targeted by a merciless vampire hunter.
s4522,TV Show,Salt Fat Acid Heat,,['Samin Nosrat'],,"October 11, 2018",2018,TV-PG,1 Season,['documentary'],"Chef and food writer Samin Nosrat travels the world to explore four basic keys to wonderful cooking, serving up feasts and helpful tips along the way."
s8320,Movie,The Ghost Who Walks,Cody Stokes,"['Garland Scott', 'Frank Mosley', 'Alexia Rasmussen', 'Gil Darnell', 'Dasha Nekrasova', 'Nattalyee Randall', 'Linda Kennedy', 'Peter Mayer', 'Curtis York', 'Dennis Lebby']",United States,"April 7, 2020",2019,TV-MA,107 min,"['drama', 'independent', 'thriller']","Desperate to meet his daughter, a convict cuts a deal by ratting out his old boss. Free and searching for his family, he must dodge a hit on his life."
s4007,TV Show,If I Hadn't Met You,,"['Pablo Derqui', 'Mercedes Sampietro', 'Andrea Ros', 'Javier Beltrán', 'Paula Malia', 'David Vert', 'Muguet Franc', 'Miquel García Borda', 'Berta Garcia', 'Joel Bramona', 'Montse Guallar', 'Abel Folk', 'Sergi López', 'Òscar Jarque', 'Eli Iranzo']",Spain,"March 15, 2019",2018,TV-MA,1 Season,"['international', 'romance', 'drama']","Eduard, a husband and father who loses his family in a tragic accident, travels to parallel universes to seek a better fate for his beloved wife."
s2064,TV Show,Bookmarks,,['Marley Dias'],United States,"September 1, 2020",2020,TV-Y,1 Season,['family'],"Celebrity readers share children's books by Black authors to spark kid-friendly conversations about empathy, equality, self-love and antiracism."
s1800,TV Show,Barbarians,,"['Laurence Rupp', 'Jeanne Goursaud', 'David Schütter', 'Ronald Zehrfeld', 'Nicki von Tempelhoff', 'Bernhard Schütz', 'Eva Verena Müller', 'Sophie Rois', 'Gaetano Aronica', 'Nikolai Kinski', 'Jeremy Miliker']",Germany,"October 23, 2020",2020,TV-MA,1 Season,"['international', 'action', 'adventure', 'drama']","Torn between the mighty empire that raised him and his own tribal people, a Roman officer's conflicted allegiances lead to an epic historical clash."
s4125,Movie,The Tree of Blood,Julio Medem,"['Úrsula Corberó', 'Álvaro Cervantes', 'Najwa Nimri', 'Patricia López Arnaiz', 'Daniel Grao', 'Joaquín Furriel', 'Maria Molins', 'Emilio Gutiérrez Caba', 'Luisa Gavasa', 'José María Pou', 'Ángela Molina']",Spain,"February 8, 2019",2018,TV-MA,136 min,"['drama', 'independent', 'international']","As a young couple write the story of their families' shared history, both reveal their relatives' dark secrets and one must make a painful confession."
s8074,Movie,Sprinter,Storm Saulter,"['Dale Elliott', 'Kadeem Wilson', 'Dennis Titus', 'David Alan Grier', 'Shantol Jackson', 'Lorraine Toussaint', 'Bryshere Gray', 'Quera South', 'Aiden Moodie']","Jamaica, United States","April 15, 2020",2018,TV-MA,112 min,"['drama', 'international', 'sport']","When a Jamaican teen hopes to use track to reunite him with his mother in America, family dysfunction at home threatens to knock his plans off course."
s6621,Movie,Dog Eat Dog,Paul Schrader,"['Nicolas Cage', 'Willem Dafoe', 'Christopher Matthew Cook', 'Omar J. Dorsey', 'Louisa Krause', 'Melissa Bolona', 'Reynaldo Gallegos']",United States,"December 31, 2016",2016,TV-MA,93 min,"['drama', 'thriller']",A delusional ex-con rejoins his unhinged former partners for one last job: kidnap the baby of a mobster's enemy for ransom.
s6729,TV Show,Ezel,,"['Kenan İmirzalıoğlu', 'Cansu Dere', 'Haluk Bilginer', 'Yiğit Özşener', 'Barış Falay', 'Burçin Terzioğlu', 'Bade İşçil', 'Sarp Akkaya', 'İpek Bilgin', 'Salih Kalyon', 'Tuncel Kurtiz', 'Sedef Avcı', 'Berrak Tüzünataç', 'İsmail Filiz']",Turkey,"December 26, 2016",2009,TV-14,1 Season,"['crime', 'international', 'drama']",A young man framed for a crime escapes a prison sentence by faking his own death and assuming a new identity as he seeks revenge.
s5056,Movie,Expedition Happiness,Selima Taibi,"['Selima Taibi', 'Felix Starck']",Germany,"January 31, 2018",2017,TV-PG,96 min,"['documentary', 'international']","A filmmaker and his musician girlfriend attempt an epic road trip with their dog, traveling across North America in a refurbished school bus."
s7754,Movie,Playing Hard,Jean-Simon Chartier,,"Canada, United States","April 5, 2019",2018,TV-MA,92 min,"['documentary', 'international']","Step inside the Ubisoft offices, and follow designer Jason VandenBerghe's fight to create the video game ""For Honor"" over four years."
s2100,TV Show,Trinkets,,"['Brianna Hildebrand', 'Kiana Madeira', 'Quintessa Swindell', 'Brandon Butler', 'Odiseas Georgiadis', 'Henry Zaga', 'Larry Sullivan', 'Larisa Oleynik']",United States,"August 25, 2020",2020,TV-MA,2 Seasons,"['drama', 'teen']",A grieving teen finds an unexpected connection with two classmates at her new high school after they all land in the same Shoplifters Anonymous group.
s6035,Movie,A Family Man,Mark Williams,"['Gerard Butler', 'Gretchen Mol', 'Alison Brie', 'Willem Dafoe', 'Alfred Molina', 'Maxwell Jenkins', 'Anupam Kher', 'Dustin Milligan']","Canada, United States","December 15, 2019",2016,R,110 min,['drama'],A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.
s4446,Movie,Kai Po Che!,Abhishek Kapoor,"['Rajkummar Rao', 'Amit Sadh', 'Sushant Singh Rajput', 'Amrita Puri', 'Digvijay Deshmukh', 'Asif Basra', 'Manav Kaul', 'Ashish Kakkad']",India,"November 1, 2018",2013,TV-MA,120 min,"['drama', 'international', 'sport']",This Bollywood drama tells the story of three best friends who dream of starting a cricket training academy in Ahmedabad for very different reasons.
s360,Movie,The Original Kings of Comedy,Spike Lee,"['Steve Harvey', 'D.L. Hughley', 'Cedric the Entertainer', 'Bernie Mac']",United States,"August 1, 2021",2000,R,111 min,['comedy'],"Comedians Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac hit the stage in an iconic stand-up concert directed by Spike Lee."
s3759,Movie,Jo Koy: Comin' In Hot,Shannon Hartman,['Jo Koy'],United States,"June 12, 2019",2019,TV-MA,60 min,['comedy'],"Comedian Jo Koy takes center stage in Hawaii and shares his candid take on cultural curiosities, filter-free fatherhood and more."
s5234,Movie,The Death and Life of Marsha P. Johnson,David France,,"Greece, United States","October 6, 2017",2017,TV-MA,106 min,"['documentary', 'lgbtq']","As she fights the tide of violence against trans women, activist Victoria Cruz probes the suspicious 1992 death of her friend Marsha P. Johnson."
s4092,Movie,The Drug King,Woo Min-ho,"['Song Kang-ho', 'Cho Jung-seok', 'Bae Doona', 'Kim So-jin', 'Kim Dae-myung', 'Jo Woo-jin', 'Lee Hee-jun', 'Song Young-chang', 'Yoon Je-moon']",South Korea,"February 21, 2019",2018,TV-MA,139 min,"['drama', 'international', 'thriller']",A petty smuggler from Busan dives headfirst into illicit drug trafficking in the 1970s and rises to become king of narcotics exports to Japan.
s2088,Movie,Santana,"Chris Roland, Maradona Dias Dos Santos","['Paulo Americano', 'Raul Rosario', 'Rapulana Seiphemo', ""David O'Hara"", 'Hakeem Kae-Kazim', 'Neide Vieira', 'Cigano Satyohamba', 'Nompilo Gwala']","South Africa, Angola","August 28, 2020",2020,TV-MA,107 min,"['action', 'adventure', 'international']",Two brothers — one a narcotics agent and the other a general — finally discover the identity of the drug lord who murdered their parents decades ago.
s5764,TV Show,Be with You,,"['Bobby Dou', 'Peijia Huang', 'Nylon Chen', 'Vivi Lee', 'Edison Wang', 'Serena Fang']",Taiwan,"October 1, 2016",2015,TV-14,1 Season,"['international', 'romance', 'drama']","After reconnecting with their girlhood crushes, two sisters find their lives turned upside down by surprising revelations and romantic intrigue."
s2413,Movie,365 Days,"Barbara Białowąs, Tomasz Mandes","['Anna-Maria Sieklucka', 'Michele Morrone', 'Bronisław Wrocławski', 'Otar Saralidze', 'Magdalena Lamparska', 'Natasza Urbańska', 'Grażyna Szapołowska', 'Tomasz Stockinger', 'Gianni Parisi', 'Mateusz Łasowski']",Poland,"June 7, 2020",2020,TV-MA,114 min,"['drama', 'international', 'romance']","A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him."
s8119,Movie,Summer Night,Joseph Cross,"['Ellar Coltrane', 'Callan McAuliffe', 'Ian Nelson', 'Lana Condor', 'Analeigh Tipton', 'Melina Vidler', 'Bill Milner', 'Justin Chatwin', 'Ella Hunt', 'Elena Kampouris', 'Victoria Justice', 'Khris Davis', 'Hayden Szeto']",United States,"March 19, 2020",2019,TV-MA,93 min,"['comedy', 'drama', 'romance']",A group of 20-somethings in a small town experience a variety of personal and relationship issues leading up to a gathering at the local watering hole.
s3321,Movie,Jinxed,Stephen Herek,"['Ciara Bravo', 'Jacob Bertrand', 'Elena Kampouris', 'Jack Griffo', 'Donavon Stinson', 'Keegan Connor Tracy', 'Jay Brazeau']","United States, Canada","November 2, 2019",2013,TV-Y,69 min,"['family', 'comedy']","After a century-old curse of bad luck, a determined teen embarks on a journey to break her family’s generational misfortune."
s3052,Movie,Aruna & Her Palate,Edwin,"['Dian Sastrowardoyo', 'Oka Antara', 'Hannah Al Rashid', 'Nicholas Saputra', 'Deddy Mahendra Desta', 'Ayu Azhari']","Indonesia, South Korea, Singapore","January 1, 2020",2018,TV-14,106 min,"['drama', 'international']","An epidemiologist turns her nationwide bird flu investigation into a chance to sample local delicacies en route, with three friends along for the ride."
s8393,TV Show,The Liar,,"['Aenie Wong', 'Janelle Chin', 'Karena Teo', 'Goh Wee Ping', 'Sam Chong']",,"October 21, 2017",2013,TV-14,1 Season,"['crime', 'international', 'drama']","At the CARE detective agency, investigators see a lot of action but must always keep their cases secret, even when it affects their personal lives."
s3171,Movie,No Game No Life: Zero,Atsuko Ishizuka,"['Yoshitsugu Matsuoka', 'Ai Kayano', 'Yoko Hikasa', 'Yukari Tamura', 'Yuka Iguchi', 'Mamiko Noto', 'Miyuki Sawashiro', 'Rie Kugimiya', 'Toru Okawa', 'Kazuyuki Okitsu', 'Junichi Suwabe', 'Lynn', 'Yui Horie', 'Nanako Mori', 'Ryota Takeuchi']",Japan,"December 6, 2019",2017,TV-MA,106 min,"['action', 'adventure', 'anime', 'international']","In ancient Disboard, a young warrior befriends an ex machina and embarks on a harrowing mission to stop a global war and save humanity from extinction."
s4087,Movie,Paddleton,Alex Lehmann,"['Mark Duplass', 'Ray Romano']",United States,"February 22, 2019",2019,TV-MA,89 min,"['comedy', 'drama', 'independent']","After he's diagnosed with terminal cancer, middle-aged Michael asks his neighbor friend Andy to help him end his life before the disease does."
s3567,Movie,Saavat,Saurabh Sinha,"['Smita Tambe', 'Milind Shirole', 'Shwetambari Ghute', 'Shitanshu Kumar Sharad', 'Nishikant Rawji', 'Sanjivani Khanvilkar']",India,"August 23, 2019",2019,TV-14,118 min,"['drama', 'independent', 'international']","In rural India, a detective's investigation of seven confounding suicides uncovers revelations about the myths and mindsets of the rest of the village."
s2393,Movie,Axone,Nicholas Kharkongor,"['Sayani Gupta', 'Lin Laishram', 'Tenzing Dalha', 'Dolly Ahluwalia', 'Vinay Pathak', 'Lanuakam Ao', 'Rohan Joshi', 'Adil Hussain', 'Asenla Jamir']",India,"June 12, 2020",2020,TV-MA,101 min,"['comedy', 'drama', 'independent']","In Delhi, friends from Northeast India prepare a pungent delicacy for a wedding party, sparking conflict and comedy with their unaccustomed neighbors."
s665,TV Show,Cleo & Cuquin,Fernando Moro,,Spain,"June 19, 2021",2020,TV-Y,2 Seasons,['family'],Spirited sister-brother duo Cleo and Cuquín try on different professions each day to help their other siblings solve problems and enjoy new adventures.
s7731,Movie,Personal Shopper,Olivier Assayas,"['Kristen Stewart', 'Lars Eidinger', 'Sigrid Bouaziz', 'Anders Danielsen Lie', 'Ty Olwin', 'Hammou Graïa', 'Nora von Waldstätten', 'Benjamin Biolay', 'Audrey Bonnet', 'Pascal Rambert']","France, Germany, Czech Republic, Belgium","February 1, 2019",2016,R,105 min,"['drama', 'international', 'thriller']","A psychic medium takes a job as personal shopper for a spoiled celebrity in order to contact the spirit of her brother, who owned her employer's home."
s7114,Movie,Jackie Brown,Quentin Tarantino,"['Pam Grier', 'Samuel L. Jackson', 'Robert Forster', 'Bridget Fonda', 'Michael Keaton', 'Robert De Niro', 'Michael Bowen', 'Chris Tucker', 'LisaGay Hamilton', ""Tommy 'Tiny' Lister"", 'Hattie Winston', 'Sid Haig']",United States,"August 1, 2019",1997,R,154 min,"['drama', 'thriller']","When an aging flight attendant's caught smuggling cash and forced to help with an investigation, she hatches a clever plan to make off with the dough."
s8203,Movie,The Bad Kids,"Keith Fulton, Louis Pepe",,United States,"April 1, 2017",2016,TV-MA,101 min,['documentary'],"In this documentary, teachers at a Mojave Desert high school adhere to a belief that compassion and life skills can profoundly help at-risk students."
s4434,Movie,Do Dooni Chaar,Habib Faisal,"['Rishi Kapoor', 'Neetu Singh', 'Aditi Vasudev', 'Archit Krishna', 'Akhilendra Mishra', 'Natasha Rastogi', 'Manoj Bakshi', 'Supriya Shukla']",India,"November 1, 2018",2010,TV-PG,106 min,"['comedy', 'international']","A struggling math teacher holds down a second job to keep his family afloat. But when he receives a wedding invitation, he's determined to attend."
s7416,Movie,Marvel's Iron Man & Hulk: Heroes United,"Leo Riley, Eric Radomski","['Adrian Pasdar', 'Fred Tatasciore', 'Dee Bradley Baker', 'Robin Atkin Downes', 'David Kaye']",United States,"February 16, 2014",2013,PG,72 min,"['action', 'adventure', 'sci-fi', 'fantasy']","When scientists join Hulk's gamma energy with Tony Stark's Arc Reactor, the resulting force creates a foe that only the two Marvel heroes can combat."
s4452,Movie,Mumbai Meri Jaan,Nishikant Kamat,"['Madhavan', 'Irrfan Khan', 'Soha Ali Khan', 'Paresh Rawal', 'Kay Kay Menon', 'Anand Goradia', 'Vijay Maurya', 'Vibhavari Deshpande', 'Santosh Juvekar', 'Kamlesh Sawant']",India,"November 1, 2018",2008,TV-MA,135 min,"['drama', 'international']","A moving portrayal of the 2006 train bombings in Mumbai, this Indian drama follows the interconnected stories of several strangers."
s4395,Movie,Odu Raja Odu,"Nishanth Ravindaran, Jathin Sanker Raj","['Guru Somasundaram', 'Nasser', 'Anand Sami', 'Lakshmi Priyaa Chandramouli', 'Ashiqa Salvan', 'Ravindra Vijay', 'Abishek K.S.', 'Venkatesh Harinathan']",India,"November 15, 2018",2018,TV-14,121 min,"['comedy', 'independent', 'international']","While trying to buy his wife a set-top box, a struggling writer and his pal get entangled in the domino effect of a spectacularly botched drug deal."
s2002,Movie,Raising Victor Vargas,Peter Sollett,"['Victor Rasuk', 'Judy Marte', 'Melonie Diaz', 'Altagracia Guzman', 'Silvestre Rasuk', 'Krystal Rodriguez', 'Kevin Rivera', 'Wilfree Vasquez', 'Donna Maldonado']","France, United States","September 15, 2020",2002,R,88 min,"['drama', 'independent', 'romance']",A suave teen sets his sights on a girl who seems beyond his reach. But his game can't be confined to his tiny apartment and family's old-school values.
